CPE,hora,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
C15FA534254,0,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,6,historico fim_semana,2.5
C15FA534254,1,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,2,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,3,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,4,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,5,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,6,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,7,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,8,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,9,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,10,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,11,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,12,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,13,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,14,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,15,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,16,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,17,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,18,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,19,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,20,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,21,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,22,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C15FA534254,23,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C16SB066962U,4,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,6,historico fim_semana,2.5
C16SB066962U,5,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,6,historico fim_semana,2.5
C16SB066962U,6,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,6,historico fim_semana,2.5
C16SB066962U,7,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,6,historico fim_semana,2.5
C16SB066962U,12,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,5,historico fim_semana,2.5
C16SB066962U,13,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,5,historico fim_semana,2.5
C16SB066962U,14,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,5,historico fim_semana,2.5
C16SB066962U,15,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,5,historico fim_semana,2.5
C16SB066962U,16,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,6,historico fim_semana,2.5
C16SB066962U,17,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,6,historico fim_semana,2.5
C16SB066962U,18,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,6,historico fim_semana,2.5
C16SB066962U,19,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,6,historico fim_semana,2.5
C16SC000825R,0,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,1,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,2,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,7,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,8,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,9,,fim_semana,0.276,0.4453,0.3696,-0.46,-0.46,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,10,,fim_semana,1.014,1.2444,0.8324,-0.28,-0.28,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,11,,fim_semana,0.929,0.6484,0.4438,0.63,0.63,normal,normal,alta,5,historico fim_semana,2.5
C16SC000825R,12,,fim_semana,0.562,0.3874,0.3596,0.49,0.49,normal,normal,alta,5,historico fim_semana,2.5
C16SC000825R,13,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,5,historico fim_semana,2.5
C16SC000825R,14,,fim_semana,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,5,historico fim_semana,2.5
C16SC000825R,15,,fim_semana,0.0,0.554,0.9539,-0.58,-0.58,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,16,,fim_semana,0.0,0.1684,0.2438,-0.69,-0.69,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,17,,fim_semana,0.208,0.4031,0.3907,-0.5,-0.5,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,18,,fim_semana,0.286,0.5146,0.4186,-0.55,-0.55,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,19,,fim_semana,0.496,0.5594,0.4192,-0.15,-0.15,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,20,,fim_semana,0.612,0.637,0.4459,-0.06,-0.06,normal,normal,alta,7,historico fim_semana,2.5
C16SC000825R,21,,fim_semana,0.586,0.5617,0.3132,0.08,0.08,normal,normal,alta,7,historico fim_semana,2.5
