CPE,hora,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
C15FA534254,0,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,19,historico dia_util,3.5
C15FA534254,1,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,2,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,3,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,4,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,5,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,6,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,7,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,8,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,9,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,10,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,11,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,12,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,13,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,14,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,15,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,20,historico dia_util,3.5
C15FA534254,16,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,17,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,18,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,19,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,20,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,21,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,22,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C15FA534254,23,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SB066962U,8,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,19,historico dia_util,3.5
C16SB066962U,9,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,19,historico dia_util,3.5
C16SB066962U,10,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,19,historico dia_util,3.5
C16SB066962U,11,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,19,historico dia_util,3.5
C16SB066962U,16,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,20,historico dia_util,3.5
C16SB066962U,17,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,20,historico dia_util,3.5
C16SB066962U,18,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,20,historico dia_util,3.5
C16SB066962U,19,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SB066962U,20,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,17,historico dia_util,3.5
C16SB066962U,21,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,17,historico dia_util,3.5
C16SB066962U,22,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,17,historico dia_util,3.5
C16SB066962U,23,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,15,historico dia_util,3.5
C16SC000825R,0,,dia_util,1.313,0.0,0.01,10.0,131.3,desvio,acima,alta,21,historico dia_util,3.5
C16SC000825R,1,,dia_util,1.333,0.0,0.01,10.0,133.3,desvio,acima,alta,21,historico dia_util,3.5
C16SC000825R,2,,dia_util,1.351,0.0,0.01,10.0,135.1,desvio,acima,alta,21,historico dia_util,3.5
C16SC000825R,3,,dia_util,1.363,0.0,0.01,10.0,136.3,desvio,acima,alta,20,historico dia_util,3.5
C16SC000825R,4,,dia_util,1.379,0.0,0.01,10.0,137.9,desvio,acima,alta,20,historico dia_util,3.5
C16SC000825R,5,,dia_util,1.388,0.0,0.01,10.0,138.8,desvio,acima,alta,20,historico dia_util,3.5
C16SC000825R,6,,dia_util,1.384,0.0,0.01,10.0,138.4,desvio,acima,alta,20,historico dia_util,3.5
C16SC000825R,7,,dia_util,1.38,0.0,0.01,10.0,138.0,desvio,acima,alta,21,historico dia_util,3.5
C16SC000825R,8,,dia_util,1.364,0.0,0.01,10.0,136.4,desvio,acima,alta,21,historico dia_util,3.5
C16SC000825R,9,,dia_util,1.362,0.594,0.3743,2.05,2.05,normal,normal,alta,21,historico dia_util,3.5
C16SC000825R,10,,dia_util,1.339,1.0538,0.3845,0.74,0.74,normal,normal,alta,21,historico dia_util,3.5
C16SC000825R,15,,dia_util,6.15,0.3837,0.6564,8.78,8.78,desvio,acima,alta,19,historico dia_util,3.5
C16SC000825R,16,,dia_util,0.421,0.2873,0.3086,0.43,0.43,normal,normal,alta,19,historico dia_util,3.5
C16SC000825R,17,,dia_util,0.25,0.5721,0.3755,-0.86,-0.86,normal,normal,alta,19,historico dia_util,3.5
C16SC000825R,18,,dia_util,0.366,0.4522,0.2758,-0.31,-0.31,normal,normal,alta,19,historico dia_util,3.5
C16SC000825R,19,,dia_util,0.513,0.5614,0.3559,-0.14,-0.14,normal,normal,alta,19,historico dia_util,3.5
C16SC000825R,20,,dia_util,0.565,0.5601,0.2972,0.02,0.02,normal,normal,alta,19,historico dia_util,3.5
C16SC000825R,21,,dia_util,0.457,0.5596,0.2132,-0.48,-0.48,normal,normal,alta,19,historico dia_util,3.5
C16SC000825R,22,,dia_util,0.0,0.0681,0.2969,-0.23,-0.23,normal,normal,alta,19,historico dia_util,3.5
C16SC000825R,23,,dia_util,0.0,0.185,0.4806,-0.38,-0.38,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,0,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,1,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,2,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,18,historico dia_util,3.5
C16SC003896,3,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,4,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,5,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,6,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,19,historico dia_util,3.5
C16SC003896,7,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,8,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,9,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,10,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,18,historico dia_util,3.5
C16SC003896,11,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,12,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,13,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,15,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,16,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,17,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,18,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,18,historico dia_util,3.5
C16SC003896,19,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,20,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,21,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SC003896,22,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,19,historico dia_util,3.5
C16SC003896,23,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SE010255,1,,dia_util,0.001,0.0023,0.01,-0.13,-0.13,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,2,,dia_util,0.0,0.0009,0.01,-0.09,-0.09,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,3,,dia_util,0.005,0.003,0.01,0.2,0.2,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,4,,dia_util,0.005,0.0048,0.01,0.02,0.02,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,5,,dia_util,0.006,0.0044,0.01,0.16,0.16,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,6,,dia_util,0.006,0.0058,0.01,0.02,0.02,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,7,,dia_util,0.01,0.0102,0.01,-0.02,-0.02,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,8,,dia_util,0.027,0.0195,0.0113,0.67,0.67,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,9,,dia_util,0.013,0.0271,0.0121,-1.16,-1.16,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,10,,dia_util,0.137,0.1368,0.0509,0.0,0.0,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,11,,dia_util,0.117,0.0797,0.0405,0.92,0.92,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,12,,dia_util,0.176,0.1189,0.0567,1.01,1.01,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,13,,dia_util,0.114,0.081,0.0424,0.78,0.78,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,14,,dia_util,0.212,0.1429,0.0778,0.89,0.89,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,15,,dia_util,0.163,0.1146,0.0504,0.96,0.96,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,16,,dia_util,0.11,0.1207,0.0454,-0.24,-0.24,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,17,,dia_util,0.11,0.0649,0.0529,0.85,0.85,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,18,,dia_util,0.104,0.0559,0.0318,1.51,1.51,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,19,,dia_util,0.01,0.0125,0.01,-0.25,-0.25,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,20,,dia_util,0.008,0.0089,0.01,-0.09,-0.09,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,22,,dia_util,0.007,0.0076,0.01,-0.06,-0.06,normal,normal,alta,14,historico dia_util,3.5
C16SE010255,23,,dia_util,0.005,0.0065,0.01,-0.15,-0.15,normal,normal,alta,14,historico dia_util,3.5
C16SE010257A,0,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SE010257A,1,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
C16SE010257A,2,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,18,historico dia_util,3.5
C16SE010257A,3,,dia_util,0.0,0.0,0.01,0.0,0.0,normal,normal,alta,21,historico dia_util,3.5
