CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0.0,dia_util,9.08,8.51,1.23,0.47,0.47,normal,acima,alta,44,histórico dia_util,2.0
PT0002000068855003AK,,dia_util,9.56,6.36,0.97,3.29,3.29,desvio,acima,alta,44,histórico dia_util,2.0
PT0002000068856267NC,,dia_util,18.18,16.34,3.08,0.6,0.6,normal,acima,alta,44,histórico dia_util,2.0
PT0002000068856655YV,0.0,dia_util,1.04,1.83,0.44,-1.78,-1.78,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000068856781NM,0.0,dia_util,27.28,21.07,10.94,0.57,0.57,normal,acima,alta,44,histórico dia_util,2.0
PT0002000068856826ZG,,dia_util,45.12,27.74,9.29,1.87,1.87,normal,acima,alta,44,histórico dia_util,2.0
PT0002000068856872QG,1.0,dia_util,0.12,0.14,0.3,-0.03,-0.03,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000068856906VS,0.0,dia_util,6.61,5.84,1.96,0.4,0.4,normal,acima,alta,44,histórico dia_util,2.0
PT0002000068856952LS,2.0,dia_util,0.91,0.4,0.42,1.21,1.21,normal,acima,alta,44,histórico dia_util,2.0
PT0002000068856974CZ,,dia_util,5.72,5.97,1.02,-0.25,-0.25,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000068857099AR,1.0,dia_util,3.6,4.27,0.58,-1.14,-1.14,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000068857897ZV,0.0,dia_util,16.5,13.8,2.86,0.94,0.94,normal,acima,alta,44,histórico dia_util,2.0
PT0002000068857909SY,1.0,dia_util,4.14,4.76,1.19,-0.52,-0.52,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000068858231YY,,dia_util,19.26,17.3,4.99,0.39,0.39,normal,acima,alta,44,histórico dia_util,2.0
PT0002000068858674WN,,dia_util,13.29,11.88,3.42,0.41,0.41,normal,acima,alta,44,histórico dia_util,2.0
PT0002000068859187RL,0.0,dia_util,10.26,8.53,1.56,1.11,1.11,normal,acima,alta,44,histórico dia_util,2.0
PT0002000068859325FL,1.0,dia_util,19.46,21.75,6.03,-0.38,-0.38,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000068859382XF,0.0,dia_util,26.76,24.82,5.27,0.37,0.37,normal,acima,alta,44,histórico dia_util,2.0
PT0002000068859393XH,1.0,dia_util,26.52,27.58,5.19,-0.2,-0.2,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000068859597LS,0.0,dia_util,31.42,26.71,6.96,0.68,0.68,normal,acima,alta,44,histórico dia_util,2.0
PT0002000071896778MT,0.0,dia_util,4.96,11.83,8.35,-0.82,-0.82,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000073231742VK,0.0,dia_util,5.75,5.5,0.81,0.31,0.31,normal,acima,alta,44,histórico dia_util,2.0
PT0002000073481266XH,0.0,dia_util,5.61,5.29,0.53,0.61,0.61,normal,acima,alta,44,histórico dia_util,2.0
PT0002000073573036KH,,dia_util,50.67,48.03,4.8,0.55,0.55,normal,acima,alta,44,histórico dia_util,2.0
PT0002000073717386HC,,dia_util,6.04,4.66,1.38,1.0,1.0,normal,acima,alta,44,histórico dia_util,2.0
PT0002000073720434JD,,dia_util,24.17,12.71,6.22,1.84,1.84,normal,acima,alta,44,histórico dia_util,2.0
PT0002000075637532JB,0.0,dia_util,5.76,5.31,1.23,0.36,0.36,normal,acima,alta,44,histórico dia_util,2.0
PT0002000077348081AG,,dia_util,21.47,17.81,5.31,0.69,0.69,normal,acima,alta,44,histórico dia_util,2.0
PT0002000077394934QY,0.0,dia_util,23.8,19.93,1.99,1.94,1.94,normal,acima,alta,44,histórico dia_util,2.0
PT0002000077647404EM,1.0,dia_util,9.1,9.3,2.76,-0.07,-0.07,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000078140706BA,,dia_util,5.35,9.41,3.42,-1.19,-1.19,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000078207354XC,1.0,dia_util,3.95,3.58,0.97,0.38,0.38,normal,acima,alta,44,histórico dia_util,2.0
PT0002000078233981HJ,1.0,dia_util,4.49,3.46,0.68,1.52,1.52,normal,acima,alta,44,histórico dia_util,2.0
PT0002000078294957RQ,0.0,dia_util,6.29,5.78,1.24,0.42,0.42,normal,acima,alta,44,histórico dia_util,2.0
PT0002000078441876HB,0.0,dia_util,284.47,233.14,28.89,1.78,1.78,normal,acima,alta,44,histórico dia_util,2.0
PT0002000079469719HF,,dia_util,28.09,32.1,3.21,-1.25,-1.25,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000081344542CP,1.0,dia_util,2.15,3.99,0.85,-2.16,-2.16,desvio,abaixo,alta,44,histórico dia_util,2.0
PT0002000081997398TD,0.0,dia_util,25.99,26.46,4.54,-0.1,-0.1,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000082549706RH,0.0,dia_util,5.17,5.98,0.77,-1.06,-1.06,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000100113293JT,0.0,dia_util,37.92,38.85,3.88,-0.24,-0.24,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000101964938LF,0.0,dia_util,5.59,5.1,0.51,0.97,0.97,normal,acima,alta,44,histórico dia_util,2.0
PT0002000102936404ME,1.0,dia_util,4.03,4.9,0.49,-1.77,-1.77,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000103647515BL,,dia_util,0.21,0.24,0.3,-0.11,-0.11,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000105483259QH,1.0,dia_util,0.33,0.46,0.3,-0.43,-0.43,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000106102375RC,,dia_util,11.61,10.44,1.76,0.66,0.66,normal,acima,alta,44,histórico dia_util,2.0
