CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0.0,fim_semana,3.0,2.96,0.3,0.15,0.15,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068855003AK,,fim_semana,3.0,3.37,0.47,-0.77,-0.77,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856267NC,,fim_semana,7.0,8.08,1.0,-1.09,-1.09,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856655YV,0.0,fim_semana,1.0,0.75,0.3,0.83,0.83,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068856781NM,0.0,fim_semana,26.0,22.76,6.34,0.51,0.51,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068856826ZG,,fim_semana,24.0,24.55,9.37,-0.06,-0.06,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856872QG,1.0,fim_semana,0.0,0.27,0.3,-0.91,-0.91,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856906VS,0.0,fim_semana,6.0,5.68,3.58,0.09,0.09,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068856952LS,2.0,fim_semana,0.0,0.39,0.48,-0.8,-0.8,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856974CZ,,fim_semana,2.0,3.0,0.3,-3.33,-3.33,desvio,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068857099AR,1.0,fim_semana,4.0,3.71,0.69,0.43,0.43,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068857897ZV,0.0,fim_semana,7.0,7.61,1.08,-0.57,-0.57,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068857909SY,1.0,fim_semana,1.0,3.59,1.81,-1.43,-1.43,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068858231YY,,fim_semana,7.0,5.48,0.55,2.78,2.78,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000068858674WN,,fim_semana,4.0,3.64,0.36,0.98,0.98,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068859187RL,0.0,fim_semana,4.0,2.41,0.58,2.73,2.73,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000068859325FL,1.0,fim_semana,8.0,18.2,4.96,-2.06,-2.06,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068859382XF,0.0,fim_semana,10.0,10.46,1.05,-0.44,-0.44,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068859393XH,1.0,fim_semana,6.0,25.12,6.66,-2.87,-2.87,desvio,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068859597LS,0.0,fim_semana,13.0,12.55,2.87,0.16,0.16,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000071896778MT,0.0,fim_semana,1.0,4.68,4.63,-0.79,-0.79,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000073231742VK,0.0,fim_semana,3.0,2.89,0.3,0.37,0.37,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000073481266XH,0.0,fim_semana,2.0,1.64,0.3,1.2,1.2,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000073573036KH,,fim_semana,36.0,43.45,5.33,-1.4,-1.4,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000073717386HC,,fim_semana,1.0,4.06,2.09,-1.46,-1.46,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000073720434JD,,fim_semana,10.0,9.04,4.12,0.23,0.23,normal,acima,alta,15,histórico fim_semana,2.5
