CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0.0,dia_util,3.0,8.61,1.12,-5.0,-5.0,desvio,abaixo,alta,39,histórico dia_util,2.0
PT0002000068855003AK,,dia_util,3.0,6.97,1.67,-2.38,-2.38,desvio,abaixo,alta,39,histórico dia_util,2.0
PT0002000068856267NC,,dia_util,8.0,15.61,3.12,-2.44,-2.44,desvio,abaixo,alta,39,histórico dia_util,2.0
PT0002000068856655YV,0.0,dia_util,1.0,1.43,0.35,-1.22,-1.22,normal,abaixo,alta,39,histórico dia_util,2.0
PT0002000068856781NM,0.0,dia_util,25.0,26.84,2.68,-0.69,-0.69,normal,abaixo,alta,39,histórico dia_util,2.0
PT0002000068856826ZG,,dia_util,28.0,32.85,11.24,-0.43,-0.43,normal,abaixo,alta,39,histórico dia_util,2.0
PT0002000068856872QG,1.0,dia_util,0.0,0.13,0.3,-0.43,-0.43,normal,abaixo,alta,39,histórico dia_util,2.0
PT0002000068856906VS,0.0,dia_util,6.0,7.06,1.53,-0.69,-0.69,normal,abaixo,alta,39,histórico dia_util,2.0
PT0002000068856952LS,2.0,dia_util,0.0,0.36,0.43,-0.85,-0.85,normal,abaixo,alta,39,histórico dia_util,2.0
PT0002000068856974CZ,,dia_util,3.0,5.39,0.91,-2.64,-2.64,desvio,abaixo,alta,39,histórico dia_util,2.0
PT0002000068857099AR,1.0,dia_util,2.0,3.64,0.47,-3.51,-3.51,desvio,abaixo,alta,39,histórico dia_util,2.0
PT0002000068857897ZV,0.0,dia_util,6.0,13.28,2.92,-2.5,-2.5,desvio,abaixo,alta,39,histórico dia_util,2.0
PT0002000068857909SY,1.0,dia_util,1.0,4.06,1.37,-2.23,-2.23,desvio,abaixo,alta,39,histórico dia_util,2.0
PT0002000068858231YY,,dia_util,7.0,17.09,3.8,-2.65,-2.65,desvio,abaixo,alta,39,histórico dia_util,2.0
PT0002000068858674WN,,dia_util,4.0,11.11,3.62,-1.97,-1.97,normal,abaixo,alta,39,histórico dia_util,2.0
PT0002000068859187RL,0.0,dia_util,5.0,9.39,1.39,-3.16,-3.16,desvio,abaixo,alta,39,histórico dia_util,2.0
PT0002000068859325FL,1.0,dia_util,12.0,24.88,9.82,-1.31,-1.31,normal,abaixo,alta,39,histórico dia_util,2.0
PT0002000068859382XF,0.0,dia_util,9.0,22.95,5.74,-2.43,-2.43,desvio,abaixo,alta,39,histórico dia_util,2.0
PT0002000068859393XH,1.0,dia_util,6.0,25.69,3.69,-5.33,-5.33,desvio,abaixo,alta,39,histórico dia_util,2.0
PT0002000068859597LS,0.0,dia_util,8.0,25.51,5.84,-3.0,-3.0,desvio,abaixo,alta,39,histórico dia_util,2.0
