CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0.0,fim_semana,3.0,3.07,0.31,-0.22,-0.22,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068855003AK,,fim_semana,5.0,3.53,1.08,1.36,1.36,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068856267NC,,fim_semana,8.0,9.05,2.13,-0.49,-0.49,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856655YV,0.0,fim_semana,1.0,0.59,0.3,1.37,1.37,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068856781NM,0.0,fim_semana,25.0,24.54,2.45,0.19,0.19,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068856826ZG,,fim_semana,10.0,27.81,10.62,-1.68,-1.68,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856872QG,1.0,fim_semana,0.0,0.21,0.3,-0.69,-0.69,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856906VS,0.0,fim_semana,6.0,6.49,3.27,-0.15,-0.15,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856952LS,2.0,fim_semana,0.0,0.25,0.42,-0.61,-0.61,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856974CZ,,fim_semana,3.0,3.01,0.3,-0.03,-0.03,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068857099AR,1.0,fim_semana,4.0,3.44,0.67,0.83,0.83,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068857897ZV,0.0,fim_semana,6.0,7.52,1.03,-1.48,-1.48,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068857909SY,1.0,fim_semana,3.0,3.42,1.71,-0.25,-0.25,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068858231YY,,fim_semana,7.0,8.15,5.0,-0.23,-0.23,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068858674WN,,fim_semana,8.0,3.62,0.36,10.0,12.07,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000068859187RL,0.0,fim_semana,7.0,2.7,0.76,5.64,5.64,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000068859325FL,1.0,fim_semana,12.0,23.39,14.03,-0.81,-0.81,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068859382XF,0.0,fim_semana,10.0,10.48,1.05,-0.46,-0.46,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068859393XH,1.0,fim_semana,12.0,21.57,4.92,-1.95,-1.95,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068859597LS,0.0,fim_semana,14.0,12.51,1.6,0.93,0.93,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000071896778MT,0.0,fim_semana,1.0,1.36,0.88,-0.4,-0.4,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000073231742VK,0.0,fim_semana,3.0,2.97,0.3,0.1,0.1,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000073481266XH,0.0,fim_semana,2.0,1.65,0.3,1.15,1.15,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000073573036KH,,fim_semana,45.0,46.88,8.1,-0.23,-0.23,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000073717386HC,,fim_semana,1.0,3.89,2.0,-1.44,-1.44,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000073720434JD,,fim_semana,6.0,9.41,3.89,-0.88,-0.88,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000075637532JB,0.0,fim_semana,1.0,1.42,0.79,-0.53,-0.53,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000077348081AG,,fim_semana,6.0,16.45,7.06,-1.48,-1.48,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000077394934QY,0.0,fim_semana,16.0,15.95,1.6,0.03,0.03,normal,acima,alta,15,histórico fim_semana,2.5
