CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000032934812WB,,dia_util,1.19,1.37,0.3,-0.59,-0.59,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032934971DD,,dia_util,2.25,2.55,0.3,-1.01,-1.01,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032934982DC,,dia_util,0.99,1.18,0.3,-0.64,-0.64,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032935074JC,,dia_util,1.84,2.1,0.3,-0.87,-0.87,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032935119SL,,dia_util,1.86,2.13,0.3,-0.9,-0.9,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032935154VP,,dia_util,2.76,3.2,0.32,-1.35,-1.35,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032935187HH,,dia_util,2.33,2.67,0.3,-1.13,-1.13,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032935278EV,,dia_util,0.7,0.79,0.3,-0.32,-0.32,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032935314RF,,dia_util,3.9,4.45,0.44,-1.24,-1.24,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032935347WV,,dia_util,1.73,1.63,0.3,0.35,0.35,normal,acima,alta,40,histórico dia_util,2.0
PT0002000032935393GV,,dia_util,1.35,1.53,0.3,-0.59,-0.59,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032935416MV,,dia_util,1.25,1.42,0.3,-0.58,-0.58,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032935473PM,,dia_util,1.77,2.03,0.3,-0.85,-0.85,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032935633SG,,dia_util,1.3,1.47,0.3,-0.56,-0.56,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032935688VJ,,dia_util,2.4,2.59,0.3,-0.64,-0.64,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000032935724LA,,dia_util,0.59,0.67,0.3,-0.28,-0.28,normal,abaixo,alta,40,histórico dia_util,2.0
