CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000032934812WB,,fim_semana,3.16,1.36,0.3,6.02,6.02,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032934971DD,,fim_semana,5.95,2.55,0.3,10.0,11.35,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032934982DC,,fim_semana,2.92,1.19,0.3,5.75,5.75,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935074JC,,fim_semana,4.86,2.11,0.3,9.19,9.19,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935119SL,,fim_semana,4.9,2.13,0.3,9.26,9.26,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935154VP,,fim_semana,7.32,3.19,0.32,10.0,12.95,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935187HH,,fim_semana,6.18,2.67,0.3,10.0,11.72,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935278EV,,fim_semana,1.84,0.79,0.3,3.5,3.5,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935314RF,,fim_semana,10.23,4.42,0.44,10.0,13.13,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935347WV,,fim_semana,4.46,1.6,0.3,9.54,9.54,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935393GV,,fim_semana,3.58,1.53,0.3,6.83,6.83,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935416MV,,fim_semana,3.34,1.44,0.3,6.33,6.33,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935473PM,,fim_semana,4.71,2.02,0.3,8.97,8.97,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935633SG,,fim_semana,3.44,1.46,0.3,6.62,6.62,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935688VJ,,fim_semana,6.07,2.61,0.3,10.0,11.54,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032935724LA,,fim_semana,1.56,0.67,0.3,2.96,2.96,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032936135ZT,,fim_semana,1.96,0.87,0.3,3.64,3.64,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032936179SK,,fim_semana,3.03,1.26,0.3,5.91,5.91,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032936192QB,,fim_semana,3.1,1.32,0.3,5.91,5.91,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032936226VE,,fim_semana,5.24,2.33,0.3,9.72,9.72,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032936306KX,2.0,fim_semana,5.47,2.34,0.3,10.0,10.45,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032936341EE,,fim_semana,7.52,3.24,0.32,10.0,13.22,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032936363TK,,fim_semana,0.0,0.0,0.3,0.0,0.0,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000032936385RC,,fim_semana,8.0,3.46,0.35,10.0,13.12,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032936421AX,,fim_semana,4.66,1.84,0.3,9.39,9.39,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000032936465MP,,fim_semana,5.52,2.35,0.3,10.0,10.59,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000033074862LZ,0.0,fim_semana,3.11,2.92,0.3,0.65,0.65,normal,acima,alta,17,histórico fim_semana,2.5
PT0002000033137461GF,,fim_semana,3.59,1.59,0.3,6.66,6.66,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000033143974BB,,fim_semana,5.32,2.3,0.3,10.0,10.04,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000033143996NX,,fim_semana,1.88,0.8,0.3,3.59,3.59,desvio,acima,alta,15,histórico fim_semana,2.5
