CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0.0,dia_util,9.27,8.5,1.24,0.62,0.62,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068855003AK,,dia_util,8.0,6.39,1.07,1.51,1.51,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856267NC,,dia_util,16.62,16.43,3.1,0.06,0.06,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856655YV,0.0,dia_util,1.24,1.82,0.45,-1.27,-1.27,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068856781NM,0.0,dia_util,27.18,21.56,10.57,0.53,0.53,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856826ZG,,dia_util,56.78,27.55,8.67,3.37,3.37,desvio,acima,alta,43,histórico dia_util,2.0
PT0002000068856872QG,1.0,dia_util,0.07,0.14,0.3,-0.22,-0.22,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068856906VS,0.0,dia_util,9.56,5.8,1.89,1.99,1.99,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856952LS,2.0,dia_util,0.03,0.41,0.42,-0.9,-0.9,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068856974CZ,,dia_util,7.19,5.93,1.01,1.24,1.24,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068857099AR,1.0,dia_util,4.04,4.23,0.57,-0.33,-0.33,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068857897ZV,0.0,dia_util,16.51,13.81,2.9,0.93,0.93,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068857909SY,1.0,dia_util,3.33,4.76,1.18,-1.21,-1.21,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068858231YY,,dia_util,17.53,17.31,5.05,0.04,0.04,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068858674WN,,dia_util,13.21,11.84,3.45,0.4,0.4,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068859187RL,0.0,dia_util,9.99,8.54,1.58,0.92,0.92,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068859325FL,1.0,dia_util,19.62,21.74,6.1,-0.35,-0.35,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068859382XF,0.0,dia_util,24.42,24.9,5.34,-0.09,-0.09,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068859393XH,1.0,dia_util,25.25,27.57,5.24,-0.44,-0.44,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068859597LS,0.0,dia_util,30.7,26.68,7.05,0.57,0.57,normal,acima,alta,43,histórico dia_util,2.0
PT0002000071896778MT,0.0,dia_util,5.0,11.66,8.38,-0.79,-0.79,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000073231742VK,0.0,dia_util,5.9,5.49,0.82,0.49,0.49,normal,acima,alta,43,histórico dia_util,2.0
PT0002000073481266XH,0.0,dia_util,6.39,5.29,0.53,2.07,2.07,desvio,acima,alta,43,histórico dia_util,2.0
PT0002000073573036KH,,dia_util,54.81,47.87,4.79,1.45,1.45,normal,acima,alta,43,histórico dia_util,2.0
PT0002000073717386HC,,dia_util,3.41,4.71,1.4,-0.93,-0.93,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000073720434JD,,dia_util,23.69,12.8,6.29,1.73,1.73,normal,acima,alta,43,histórico dia_util,2.0
PT0002000075637532JB,0.0,dia_util,5.29,5.33,1.25,-0.03,-0.03,normal,abaixo,alta,43,histórico dia_util,2.0
