CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0.0,dia_util,8.8,8.52,1.24,0.23,0.23,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068855003AK,,dia_util,9.89,6.34,0.96,3.71,3.71,desvio,acima,alta,43,histórico dia_util,2.0
PT0002000068856267NC,,dia_util,17.7,16.41,3.1,0.42,0.42,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856655YV,0.0,dia_util,1.66,1.81,0.46,-0.33,-0.33,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068856781NM,0.0,dia_util,27.44,21.55,10.56,0.56,0.56,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856826ZG,,dia_util,38.29,27.98,9.62,1.07,1.07,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856872QG,1.0,dia_util,0.07,0.14,0.3,-0.22,-0.22,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068856906VS,0.0,dia_util,8.02,5.84,1.94,1.12,1.12,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856952LS,2.0,dia_util,0.03,0.41,0.42,-0.9,-0.9,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068856974CZ,,dia_util,7.14,5.93,1.01,1.18,1.18,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068857099AR,1.0,dia_util,3.47,4.24,0.56,-1.39,-1.39,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068857897ZV,0.0,dia_util,17.44,13.79,2.87,1.27,1.27,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068857909SY,1.0,dia_util,3.25,4.76,1.17,-1.28,-1.28,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068858231YY,,dia_util,18.48,17.28,5.05,0.24,0.24,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068858674WN,,dia_util,13.04,11.84,3.45,0.35,0.35,normal,acima,alta,43,histórico dia_util,2.0
