CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0.0,dia_util,5.0,8.52,1.21,-2.9,-2.9,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000068855003AK,,dia_util,4.0,7.15,1.76,-1.79,-1.79,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000068856267NC,,dia_util,7.0,15.29,3.31,-2.5,-2.5,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000068856655YV,0.0,dia_util,0.0,1.43,0.35,-4.13,-4.13,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000068856781NM,0.0,dia_util,26.0,26.88,2.69,-0.33,-0.33,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000068856826ZG,,dia_util,44.0,34.99,13.88,0.65,0.65,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068856872QG,1.0,dia_util,0.0,0.13,0.3,-0.43,-0.43,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000068856906VS,0.0,dia_util,7.0,7.25,1.52,-0.17,-0.17,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000068856952LS,2.0,dia_util,1.0,0.34,0.41,1.61,1.61,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068856974CZ,,dia_util,3.0,5.48,0.97,-2.56,-2.56,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000068857099AR,1.0,dia_util,2.0,3.58,0.49,-3.26,-3.26,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000068857897ZV,0.0,dia_util,7.0,13.07,2.95,-2.06,-2.06,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000068857909SY,1.0,dia_util,1.0,3.97,1.35,-2.2,-2.2,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000068858231YY,,dia_util,6.0,16.7,4.01,-2.67,-2.67,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000068858674WN,,dia_util,4.0,10.72,3.79,-1.77,-1.77,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000068859187RL,0.0,dia_util,3.0,9.47,1.43,-4.53,-4.53,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000068859325FL,1.0,dia_util,36.0,24.91,9.68,1.15,1.15,normal,acima,alta,40,histórico dia_util,2.0
PT0002000068859382XF,0.0,dia_util,9.0,22.29,6.06,-2.19,-2.19,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000068859393XH,1.0,dia_util,37.0,25.67,3.65,3.11,3.11,desvio,acima,alta,40,histórico dia_util,2.0
PT0002000068859597LS,0.0,dia_util,9.0,24.91,6.15,-2.59,-2.59,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000071896778MT,0.0,dia_util,6.0,5.1,1.04,0.86,0.86,normal,acima,alta,40,histórico dia_util,2.0
PT0002000073231742VK,0.0,dia_util,11.0,5.73,0.57,9.2,9.2,desvio,acima,alta,40,histórico dia_util,2.0
PT0002000073481266XH,0.0,dia_util,2.0,5.23,0.98,-3.29,-3.29,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000073573036KH,,dia_util,47.0,54.1,5.41,-1.31,-1.31,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000073717386HC,,dia_util,0.0,4.25,1.73,-2.46,-2.46,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000073720434JD,,dia_util,6.0,12.4,7.11,-0.9,-0.9,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000075637532JB,0.0,dia_util,2.0,5.23,1.09,-2.97,-2.97,desvio,abaixo,alta,40,histórico dia_util,2.0
PT0002000077348081AG,,dia_util,16.0,21.84,9.12,-0.64,-0.64,normal,abaixo,alta,40,histórico dia_util,2.0
PT0002000077394934QY,0.0,dia_util,17.0,19.96,2.0,-1.48,-1.48,normal,abaixo,alta,40,histórico dia_util,2.0
