CPE,PC1,PC2,cluster
C16SC000825R,-1.241341716567838,-2.6829245344438015,0
C16SE010255,11.511961190331649,-0.3618552140601953,1
C17SC007432,11.903162952428094,-2.9420800881912825,1
C17SC007452,-12.693104968324986,0.9859886798596218,0
C17SC007487,9.778095764586107,-2.3737996419325738,1
C18LB000167,12.51738344516165,-4.888677426550649,1
C18LB000173,14.072881168039947,-2.2643348836939183,1
C18SC002011N,-4.3294245390536465,1.7326352381189696,0
C18SC002050U,-12.699269102531272,1.5127253980586906,0
C18SC002069,-7.031651581520565,1.0601017571462386,0
C18SC002113,-6.418271774497095,-0.17875551394920697,0
C18SC005955,-9.515203241373573,2.0470482316216723,0
C18SC005960J,-11.833443645196825,2.0645112942766795,0
C18SC005963M,-7.317826121820379,0.2524875376603165,0
C20LB001379,13.039930036034239,-6.941678945694868,1
C21FE004002H,-5.343620493625769,6.330031228694751,0
C21FE010289Z,-5.78919487903585,0.6406844386383307,0
C22FC002164L,-4.592216540524819,-1.3069165020761275,0
C22FC002165M,-1.7972360191873333,5.045169156023267,0
C22FC002170J,-6.130327079064432,0.2853595026176247,0
C22FC002175O,-8.694324684459318,0.5720147806833228,0
C22FC002177Q,6.885225450016823,-9.799522136522747,1
C23FC001331N,-8.410297538126258,-1.6298681641283272,0
C23FC001333P,-6.138525091942068,-0.7823066495844386,0
C23FE003152I,-25.917849875365413,2.158604161702428,0
C23FE003153J,8.552049850784776,-15.149271036321675,1
D01TE050163,-18.034742136521178,2.4951587452757535,0
D01WF051014,-14.725371682259686,3.3383965999366167,0
D03TD027211,13.602831874356202,-4.067099298300175,1
D05AE129685,-12.410152950542797,-0.8322401254160801,0
D05AE130850,-1.8573419357808285,0.19907800131151798,0
D06AE082862,-14.991722263595449,2.2277796269563113,0
D07AE127770V,-12.924486355592823,4.880718136230678,0
D08AB044387,-13.75493613800407,-0.11401041379088762,0
D08AC357150V,1.3627975081921841,14.235448542303534,0
D08AC395031B,-3.5549672848333853,-1.1115211563470986,0
