CPE,f01_pct_hora_00,f02_pct_hora_01,f03_pct_hora_02,f04_pct_hora_03,f05_pct_hora_04,f06_pct_hora_05,f07_pct_hora_06,f08_pct_hora_07,f09_pct_hora_08,f10_pct_hora_09,f11_pct_hora_10,f12_pct_hora_11,f13_pct_hora_12,f14_pct_hora_13,f15_pct_hora_14,f16_pct_hora_15,f17_pct_hora_16,f18_pct_hora_17,f19_pct_hora_18,f20_pct_hora_19,f21_pct_hora_20,f22_pct_hora_21,f23_pct_hora_22,f24_pct_hora_23,cluster
C16SC000825R,1.1372494673203182,1.1545723838065376,1.1701630086441352,1.1805567585358672,1.1944150917248428,1.2022104041436417,1.1987458208463977,1.1952812375491537,1.1814229043601783,13.255495695255254,19.729935731979836,7.975470750255513,5.37703327732257,0.0,0.0,5.44719108909176,2.9648171566164883,5.150103071353093,3.8820655845618175,4.8374244287768295,6.205068685363868,8.765395742027128,1.1207926966584096,4.674589013806365,0
C16SE010255,0.495143782136736,0.33326985336126463,0.1523519329651495,0.5617977528089888,0.5427537611883452,0.6284517234812418,0.6855836983431729,1.1521614930489432,3.027994667682347,1.694915254237288,12.178632641401638,8.31270234241097,9.607693772614741,7.417634736240718,15.787469053513616,10.36945343744049,10.112359550561798,5.160921729194439,7.02723290801752,1.4949533422205297,0.971243572652828,0.8379356313083222,0.7903256522567131,0.6570177109122073,1
C17SC007432,0.01408318467749507,0.01408318467749507,0.009388789784996715,0.0046943948924983575,0.009388789784996715,0.01408318467749507,0.01408318467749507,0.6619096798422685,6.820955778800113,7.6143085156323345,9.539010421556663,9.83475729978406,10.355835132851375,11.125715895221107,12.538728757863113,8.966294244671861,8.008637686602196,5.581635527180547,4.088817951366068,3.4503802459862927,1.2534034362970614,0.0328607642474885,0.02816636935499014,0.01877757956999343,1
C17SC007452,0.0,0.0,0.0,0.0,6.885980815505818,19.10538286580743,33.43936447242641,29.436002241487298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.040841216995748,8.092428387777304,0.0,0.0,0.0,0.0,0.0,0.0,0
C17SC007487,1.349811026456296,0.7408962745215669,0.27596136540884275,0.044993700881876535,0.002999580058791769,0.002999580058791769,0.002999580058791769,0.0,0.002999580058791769,0.45593616893634886,14.44297798308237,10.57951886735857,11.437398764173016,7.774911512388266,9.5476633271342,8.719779230907672,9.112724218609396,8.113864059031735,6.014158017877497,3.1375607414961904,1.3078169056332114,4.190413342132102,1.3858059871617971,1.3558101865738794,1
C18LB000167,0.0,0.0,0.0,0.0,0.0,0.04452359750667854,0.0,0.0,0.4897595725734639,7.168299198575245,7.702582368655387,10.151380231522708,13.846838824577027,13.178984861976847,11.887800534283171,7.435440783615317,9.349955476402494,8.19234194122885,5.7435440783615315,3.561887800534283,1.2466607301869992,0.0,0.0,0.0,1
C18LB000173,0.0,0.00544425087108014,0.0,0.0,0.0,0.0,0.0,0.00544425087108014,2.5206881533101044,4.801829268292683,4.584059233449478,10.883057491289199,14.09516550522648,9.652656794425088,18.564895470383277,10.273301393728223,6.429660278745645,12.418336236933799,3.1413327526132404,2.6186846689895473,0.0,0.00544425087108014,0.0,0.0,1
C18SC002011N,0.10179843909060063,0.011310937676733402,0.04524375070693361,0.0339328130302002,0.0,0.0,0.0,0.0,0.05655468838366701,5.791200090487502,7.895034498359914,6.447234475738039,3.913584436149757,6.051351657052371,6.65083135391924,6.401990725031105,5.960864155638503,3.2009953625155525,6.78656260604004,9.467254835425857,10.134600158353129,10.598348603099197,8.698111073407986,1.7531953398936773,0
C18SC002050U,15.418971279836727,1.7007305746990442,0.7867727528172971,0.1981720843562365,2.6945487887840516,0.3164837765092135,1.4522760211777925,1.6948149900913954,6.879824898695613,2.588068265846372,3.7475228489455468,2.653139696530509,3.280191664941287,2.1355260433612346,2.7773669732911355,2.511165665946937,4.084711171581531,2.7152533349108223,6.450945014641071,4.661480670827294,14.815581649856547,6.232068384158063,4.584578070927859,5.619805377266408,0
C18SC002069,4.416265850459116,4.2040617689272946,4.229753531999831,4.234200183300848,4.235682400401187,4.228271314899493,4.219872084664241,4.170217811802894,4.12970387772697,4.109693946872397,4.110188019239178,4.092895486401893,4.112411344889686,4.113152453439856,4.131680167194089,4.131680167194089,4.151937134232051,4.145267157280527,4.149960844764932,4.124516117875785,4.114881706723583,4.119822430391379,4.149466772398153,4.174417426920521,0
