CPE,hora,consumo_real,veredicto,data
C17SC007379,2,0.0,normal,2026-05-01
C17SC007379,3,0.0,normal,2026-05-01
C17SC007379,4,0.0,normal,2026-05-01
C17SC007379,5,0.0,normal,2026-05-01
C17SC007379,6,0.0,normal,2026-05-01
C17SC007379,7,0.0,normal,2026-05-01
C17SC007379,8,0.0,normal,2026-05-01
C17SC007379,9,0.0,normal,2026-05-01
C17SC007379,10,0.0,normal,2026-05-01
C17SC007379,11,0.0,normal,2026-05-01
C17SC007379,12,0.0,normal,2026-05-01
C17SC007379,13,0.0,normal,2026-05-01
C17SC007379,14,0.0,normal,2026-05-01
C17SC007379,15,0.0,normal,2026-05-01
C17SC007379,16,0.0,normal,2026-05-01
C17SC007379,17,0.0,normal,2026-05-01
C17SC007379,18,0.0,normal,2026-05-01
C17SC007379,19,0.0,normal,2026-05-01
C17SC007379,20,0.0,normal,2026-05-01
C17SC007379,21,0.0,normal,2026-05-01
C17SC007379,22,0.0,normal,2026-05-01
C17SC007379,23,0.0,normal,2026-05-01
C17SC007397,0,0.0,normal,2026-05-01
C17SC007432,0,0.0,normal,2026-05-01
C17SC007432,1,0.0,normal,2026-05-01
C17SC007432,2,0.0,normal,2026-05-01
C17SC007432,3,0.0,normal,2026-05-01
C17SC007432,4,0.0,normal,2026-05-01
C17SC007432,5,0.0,normal,2026-05-01
C17SC007432,6,0.0,normal,2026-05-01
C17SC007432,7,0.0,normal,2026-05-01
C17SC007432,8,0.0,normal,2026-05-01
C17SC007432,9,0.0,normal,2026-05-01
C17SC007432,10,0.0,normal,2026-05-01
C17SC007432,11,0.0,normal,2026-05-01
C17SC007432,12,0.0,normal,2026-05-01
C17SC007432,13,0.027,normal,2026-05-01
C17SC007432,14,0.025,normal,2026-05-01
C17SC007432,15,0.036,normal,2026-05-01
C17SC007432,16,0.025,normal,2026-05-01
C17SC007432,17,0.023,normal,2026-05-01
C17SC007432,18,0.032,normal,2026-05-01
C17SC007432,19,0.042,normal,2026-05-01
C17SC007432,20,0.001,normal,2026-05-01
C17SC007432,21,0.0,normal,2026-05-01
C17SC007432,22,0.0,normal,2026-05-01
C17SC007432,23,0.0,normal,2026-05-01
C17SC007452,0,0.0,normal,2026-05-01
C17SC007452,1,0.0,normal,2026-05-01
C17SC007452,2,0.0,normal,2026-05-01
C17SC007452,3,0.0,normal,2026-05-01
C17SC007452,4,0.0,normal,2026-05-01
C17SC007452,5,0.0,normal,2026-05-01
C17SC007452,6,0.0,normal,2026-05-01
C17SC007452,7,0.0,normal,2026-05-01
C17SC007452,8,0.0,normal,2026-05-01
C17SC007452,9,0.0,normal,2026-05-01
C17SC007452,10,0.0,normal,2026-05-01
C17SC007452,11,0.0,normal,2026-05-01
C17SC007452,12,0.0,normal,2026-05-01
C17SC007452,13,0.0,normal,2026-05-01
C17SC007452,14,0.0,normal,2026-05-01
C17SC007452,15,0.0,normal,2026-05-01
C17SC007452,16,0.0,normal,2026-05-01
C17SC007452,17,0.0,normal,2026-05-01
C17SC007452,18,0.0,normal,2026-05-01
C17SC007452,19,0.0,normal,2026-05-01
C17SC007452,20,0.0,normal,2026-05-01
C17SC007452,21,0.0,normal,2026-05-01
C17SC007452,22,0.0,normal,2026-05-01
C17SC007452,23,0.0,normal,2026-05-01
C17SC007472,0,0.0,normal,2026-05-01
C17SC007472,1,0.0,normal,2026-05-01
C17SC007472,2,0.0,normal,2026-05-01
C17SC007472,3,0.0,normal,2026-05-01
C17SC007472,4,0.0,normal,2026-05-01
C17SC007472,5,0.0,normal,2026-05-01
C17SC007472,6,0.0,normal,2026-05-01
C17SC007472,7,0.0,normal,2026-05-01
C17SC007472,8,0.0,normal,2026-05-01
C17SC007472,9,0.0,normal,2026-05-01
C17SC007472,10,0.0,normal,2026-05-01
C17SC007472,11,0.0,normal,2026-05-01
C17SC007472,12,0.0,normal,2026-05-01
C17SC007472,13,0.0,normal,2026-05-01
C17SC007472,14,0.0,normal,2026-05-01
C17SC007472,15,0.0,normal,2026-05-01
C17SC007472,16,0.0,normal,2026-05-01
C17SC007472,17,0.0,normal,2026-05-01
C17SC007472,18,0.0,normal,2026-05-01
C17SC007472,19,0.0,normal,2026-05-01
C17SC007472,20,0.0,normal,2026-05-01
C17SC007472,21,0.0,normal,2026-05-01
C17SC007472,22,0.0,normal,2026-05-01
C17SC007472,23,0.0,normal,2026-05-01
C17SC007473,1,0.0,normal,2026-05-01
C17SC007473,2,0.0,normal,2026-05-01
C17SC007473,3,0.0,normal,2026-05-01
C17SC007473,4,0.0,normal,2026-05-01
C17SC007473,5,0.0,normal,2026-05-01
C17SC007473,6,0.0,normal,2026-05-01
C17SC007473,7,0.0,normal,2026-05-01
C17SC007473,8,0.0,normal,2026-05-01
C17SC007473,9,0.0,normal,2026-05-01
C17SC007473,10,0.0,normal,2026-05-01
C17SC007473,11,0.0,normal,2026-05-01
C17SC007473,12,0.0,normal,2026-05-01
C17SC007473,16,0.0,normal,2026-05-01
C17SC007473,17,0.0,normal,2026-05-01
C17SC007473,18,0.0,normal,2026-05-01
C17SC007473,19,0.0,normal,2026-05-01
C17SC007473,21,0.0,normal,2026-05-01
C17SC007473,22,0.0,normal,2026-05-01
C17SC007473,23,0.0,normal,2026-05-01
C17SC007487,0,0.043,normal,2026-05-01
C17SC007489,0,0.0,normal,2026-05-01
C17SC007489,1,0.0,normal,2026-05-01
C17SC007489,2,0.0,normal,2026-05-01
C17SC007489,3,0.0,normal,2026-05-01
C17SC007489,12,0.0,normal,2026-05-01
C17SC007489,13,0.0,normal,2026-05-01
C17SC007489,14,0.0,normal,2026-05-01
C17SC007489,15,0.0,normal,2026-05-01
