CPE,dias_com_dados,horas_ativas,consumo_total_m3,motivo
H21VA421042K,14,1,0.005,consumo total muito baixo + menos de 6 horas com consumo
H21VA421061N,8,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
H21VA421068U,14,1,0.006,consumo total muito baixo + menos de 6 horas com consumo
H21VA421091T,13,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
H21VA421092U,14,2,0.054,consumo total muito baixo + menos de 6 horas com consumo
I13JA277278,1,0,0.0,menos de 5 dias com dados + consumo total muito baixo + menos de 6 horas com consumo
I13JA277279,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I13JA277280,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I13JA277295,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I13JC094216,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I13JC114242U,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I13JE090462,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I13JE090464M,19,1,0.001,consumo total muito baixo + menos de 6 horas com consumo
I13JE128947D,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I13JE133572D,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JC000553,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JC000554,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JC000555,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JC000558,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JC000570,13,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JC000574,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JC000600,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JC001558X,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JC024663T,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JC024664U,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JC025288,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JC032911,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I14JE002614G,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I15JC065279,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I16JC097380,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I16JC098541,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I17JC061030,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I17JC061031,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I17JC061038,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I17JE096910V,13,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I17JE096912X,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I18JC059402,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I18JC067674,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I18JC067698,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I18JC080663,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I18JE068310,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I18MF914138D,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I18MF914139E,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I19JC019975,18,1,0.001,consumo total muito baixo + menos de 6 horas com consumo
