cluster,f01_pct_hora_00,f02_pct_hora_01,f03_pct_hora_02,f04_pct_hora_03,f05_pct_hora_04,f06_pct_hora_05,f07_pct_hora_06,f08_pct_hora_07,f09_pct_hora_08,f10_pct_hora_09,f11_pct_hora_10,f12_pct_hora_11,f13_pct_hora_12,f14_pct_hora_13,f15_pct_hora_14,f16_pct_hora_15,f17_pct_hora_16,f18_pct_hora_17,f19_pct_hora_18,f20_pct_hora_19,f21_pct_hora_20,f22_pct_hora_21,f23_pct_hora_22,f24_pct_hora_23
0,3.71,2.863,2.814,2.098,2.194,1.878,2.586,3.284,3.442,5.141,4.319,4.508,4.6,5.083,4.61,4.209,4.361,5.233,5.314,6.043,6.282,6.296,4.779,4.353
1,0.273,0.414,0.211,0.19,0.125,0.242,0.26,1.223,3.273,5.953,9.717,11.883,11.844,8.866,9.099,10.994,9.07,5.836,4.296,2.699,0.898,1.108,0.786,0.74
