CPE,dias_com_dados,horas_com_dados,horas_ativas,consumo_total_m3,consumo_medio_dia_m3,pct_madrugada,pct_laboral,pct_noite,hora_pico,pct_hora_pico,desvios_no_periodo,cluster
D19BX000040,19,431,24,62.394,3.2839,0.8,93.76,2.23,13,14.74,0,1
D19BX000041,19,348,24,31.717,1.6693,19.28,53.17,25.84,12,10.12,68,0
D19BX000057,19,400,24,28.489,1.4994,4.02,86.43,8.39,12,13.61,4,1
H19VA232210,19,429,13,3.575,0.1882,0.0,96.81,3.19,11,31.41,8,1
H20VA222003,19,397,13,1.246,0.0656,0.0,73.68,26.32,19,21.75,4,1
H20VA222016,19,433,24,0.809,0.0426,13.35,57.23,27.32,17,13.72,0,0
H20VA543760,19,433,11,0.834,0.0439,0.0,74.82,25.18,18,24.22,0,1
H21OF834686I,19,433,17,37.26,1.9611,6.66,60.36,32.98,12,14.12,14,0
H21OF834752B,19,417,24,324.72,17.0905,52.83,19.7,13.78,7,13.69,23,0
H21VA420473Z,18,420,24,30.222,1.679,3.04,90.42,5.1,13,16.31,0,1
H21VA420783K,19,430,24,21.965,1.1561,1.88,90.62,7.07,13,16.18,4,1
I11JB001828,14,289,23,0.737,0.0526,10.31,74.76,11.13,14,22.52,0,1
I13JA287987,19,381,24,5.183,0.2728,26.88,48.14,21.61,2,8.74,2,0
I13JA287996,19,406,10,0.223,0.0117,0.0,98.65,1.35,9,22.87,0,1
I13JE090461J,19,427,16,0.357,0.0188,0.0,74.23,25.77,16,17.09,0,1
I14JE002622G,19,433,17,70.419,3.7063,0.0,94.56,3.97,11,19.54,5,1
I16JC098524,19,433,24,25.799,1.3578,0.05,81.66,13.86,14,12.8,3,1
I17JE060870R,19,432,24,5.619,0.2957,12.53,60.79,26.34,13,18.95,3,0
I17JE060874,18,391,24,60.068,3.3371,0.37,92.74,6.83,11,17.65,5,1
I17JE060876,19,432,24,43.833,2.307,2.92,87.69,4.32,12,15.01,5,1
I17JE060878,19,433,15,78.334,4.1228,0.0,94.23,2.69,12,17.42,2,1
I17JE060879,14,289,24,50.945,3.6389,2.83,89.62,7.1,13,15.65,1,1
I17JE096914,19,433,21,27.311,1.4374,0.06,96.99,2.45,11,14.99,2,1
I18JC067687,18,248,15,22.456,1.2476,16.56,39.17,44.26,2,16.56,40,0
I18MF912111K,19,383,24,208.52,10.9747,21.16,53.57,23.37,14,9.53,38,0
I19JC020003,19,433,24,54.672,2.8775,13.51,51.24,33.44,15,9.41,25,0
I19JC029846L,18,242,24,339.756,18.8753,32.87,52.23,12.75,17,22.23,3,0
I19JC029855,19,381,24,99.039,5.2126,8.95,61.15,29.25,18,8.85,24,0
I19JC029856,19,376,24,813.177,42.7988,32.28,38.73,25.78,3,6.39,12,0
I19JC029874,19,433,15,15.897,0.8367,0.01,92.95,4.7,16,12.99,6,1
I19JC029877,19,433,24,27.429,1.4436,2.54,90.47,5.91,16,17.39,5,1
I19JC029885,19,432,24,62.074,3.2671,30.87,41.96,23.28,9,5.41,72,0
I19JC065474,18,353,24,12.698,0.7054,30.86,44.25,22.32,15,11.75,7,0
I19JC065506,19,433,16,25.399,1.3368,2.59,54.75,8.87,7,33.8,3,0
I19JC065533,18,328,22,314.088,17.4493,3.07,63.17,25.86,13,18.82,38,0
I19JC065537,19,432,24,19.351,1.0185,4.68,50.12,43.64,21,11.86,7,0
I19JC065564I,19,369,24,32.144,1.6918,13.1,49.49,33.24,20,12.55,11,0
I19JE047347N,19,432,24,1.603,0.0844,13.6,61.14,19.84,8,8.86,0,0
I19MF924543A,18,407,14,73.43,4.0794,0.0,91.92,2.51,11,15.63,2,1
I19MF927865,19,419,21,635.66,33.4558,17.78,28.35,53.07,23,24.82,20,0
I20JE060957,19,433,24,52.058,2.7399,9.44,49.99,35.42,20,10.94,11,0
I20JE060959,18,375,24,54.297,3.0165,13.14,71.84,12.74,15,12.16,23,1
I20JE067857,19,432,24,33.112,1.7427,5.89,59.53,27.73,18,8.34,5,0
I20JE067858,19,429,24,119.068,6.2667,6.96,52.21,35.16,20,8.01,5,0
I20JE067859,19,431,24,111.303,5.8581,10.87,42.89,44.43,20,12.19,3,0
I20MF944347P,14,289,24,21.55,1.5393,20.65,56.61,19.35,0,6.91,3,0
I20MF945857,19,419,13,35.28,1.8568,0.0,95.46,3.32,12,20.01,4,1
I21JC029093K,19,433,24,1.185,0.0624,8.27,13.08,78.14,23,38.06,5,0
I21JC029107Z,19,429,24,208.582,10.978,12.48,63.23,22.54,20,12.72,46,0
I21JC029118C,19,429,24,4.543,0.2391,24.46,48.78,23.05,13,13.6,2,0
I21JC029120W,19,433,17,9.462,0.498,1.08,55.55,43.37,20,10.58,3,0
I21JC029122Y,19,433,16,41.439,2.181,0.0,97.6,1.53,13,18.97,0,1
I21JC029129F,19,429,24,58.856,3.0977,6.75,56.82,32.38,10,7.26,5,0
I21JC029134C,19,433,24,114.847,6.0446,1.45,87.93,10.26,11,15.01,7,1
I21JC029136E,19,429,21,42.736,2.2493,0.36,12.99,86.65,21,43.44,11,0
I21JC029148I,19,430,24,59.739,3.1442,6.01,37.53,56.06,19,11.8,4,0
I21JC029165J,18,377,24,131.62,7.3122,37.81,26.44,33.21,23,13.99,11,0
I21JC029166K,19,423,24,33.489,1.7626,1.65,95.63,2.38,10,49.23,1,1
I21JC029323F,19,419,24,123.689,6.5099,13.8,47.44,36.02,21,8.41,2,0
I21JC029325H,19,407,24,33.991,1.789,10.56,52.14,34.13,20,9.36,5,0
I21JC029328K,19,416,24,39.478,2.0778,28.66,43.12,24.25,14,5.97,28,0
I21JC029332G,14,141,24,26.514,1.8939,18.22,41.49,37.75,13,23.33,5,0
I21JC029333H,14,205,24,23.535,1.6811,18.4,50.15,27.58,13,13.04,12,0
I21JC029335J,12,188,24,10.754,0.8962,21.98,35.75,38.92,22,17.06,10,0
I21JC029336K,7,101,24,15.507,2.2153,30.78,42.76,22.12,2,14.22,2,0
I21JC029361L,17,376,24,19.841,1.1671,11.43,46.64,34.95,20,7.88,5,0
I21JC029405G,19,433,24,41.073,2.1617,1.29,3.99,94.51,23,47.75,11,0
I21JC029465S,19,423,24,297.944,15.6813,15.37,48.8,32.0,20,6.44,3,0
I21JC029553R,19,405,24,38.045,2.0024,16.85,53.29,28.61,12,9.58,9,0
I21JC029600H,19,421,24,6.657,0.3504,16.24,69.28,12.45,9,39.18,3,0
