CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000032934812WB,,dia_util,1.24,1.39,0.3,-0.49,-0.49,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032934971DD,,dia_util,2.31,2.58,0.3,-0.88,-0.88,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032934982DC,,dia_util,1.08,1.2,0.3,-0.38,-0.38,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935074JC,,dia_util,1.91,2.13,0.3,-0.73,-0.73,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935119SL,,dia_util,1.94,2.15,0.3,-0.71,-0.71,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935154VP,,dia_util,2.87,3.23,0.32,-1.12,-1.12,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935187HH,,dia_util,2.43,2.7,0.3,-0.91,-0.91,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935278EV,,dia_util,0.72,0.8,0.3,-0.27,-0.27,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935314RF,,dia_util,3.98,4.51,0.45,-1.18,-1.18,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935347WV,,dia_util,1.45,1.65,0.3,-0.68,-0.68,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935393GV,,dia_util,1.39,1.55,0.3,-0.51,-0.51,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935416MV,,dia_util,1.28,1.45,0.3,-0.58,-0.58,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935473PM,,dia_util,1.85,2.05,0.3,-0.66,-0.66,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935633SG,,dia_util,1.35,1.49,0.3,-0.47,-0.47,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935688VJ,,dia_util,2.43,2.62,0.3,-0.63,-0.63,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032935724LA,,dia_util,0.61,0.68,0.3,-0.23,-0.23,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032936135ZT,,dia_util,0.77,0.88,0.3,-0.36,-0.36,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032936179SK,,dia_util,1.17,1.27,0.3,-0.34,-0.34,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032936192QB,,dia_util,1.21,1.35,0.3,-0.45,-0.45,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032936226VE,,dia_util,2.07,2.34,0.3,-0.9,-0.9,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032936306KX,2.0,dia_util,2.14,2.37,0.3,-0.76,-0.76,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032936341EE,,dia_util,2.95,3.38,0.68,-0.64,-0.64,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032936363TK,,dia_util,0.0,0.0,0.3,0.0,0.0,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032936385RC,,dia_util,3.12,3.5,0.35,-1.1,-1.1,normal,abaixo,alta,44,histórico dia_util,2.0
PT0002000032936421AX,,dia_util,1.83,1.87,0.3,-0.13,-0.13,normal,abaixo,alta,44,histórico dia_util,2.0
