CPE,data,tipo_dia,consumo,habitual,std,z_score,z_real,desvio_pct,veredicto,n_dias,confianca,fonte_baseline,threshold
PT0002000033074862LZ,2026-06-01,dia_util,8.75,8.64,1.2,0.09,0.09,1.2,normal,40,alta,histórico dia_util,2.0
PT0002000068855003AK,2026-06-01,dia_util,5.08,6.48,1.1,-1.27,-1.27,-21.6,normal,40,alta,histórico dia_util,2.0
PT0002000068856267NC,2026-06-01,dia_util,16.94,16.71,3.02,0.07,0.07,1.3,normal,40,alta,histórico dia_util,2.0
PT0002000068856655YV,2026-06-01,dia_util,2.03,1.74,0.4,0.71,0.71,16.5,normal,40,alta,histórico dia_util,2.0
PT0002000068856781NM,2026-06-01,dia_util,27.0,23.18,9.05,0.42,0.42,16.5,normal,40,alta,histórico dia_util,2.0
PT0002000068856826ZG,2026-06-01,dia_util,44.29,28.23,9.66,1.66,1.66,56.9,normal,40,alta,histórico dia_util,2.0
PT0002000068856872QG,2026-06-01,dia_util,0.07,0.14,0.3,-0.23,-0.23,-48.3,normal,40,alta,histórico dia_util,2.0
PT0002000068856906VS,2026-06-01,dia_util,6.84,5.98,1.99,0.43,0.43,14.5,normal,40,alta,histórico dia_util,2.0
PT0002000068856952LS,2026-06-01,dia_util,0.68,0.38,0.43,0.69,0.69,78.1,normal,40,alta,histórico dia_util,2.0
PT0002000068856974CZ,2026-06-01,dia_util,5.22,5.94,1.03,-0.7,-0.7,-12.1,normal,40,alta,histórico dia_util,2.0
PT0002000068857099AR,2026-06-01,dia_util,3.58,4.22,0.57,-1.13,-1.13,-15.2,normal,40,alta,histórico dia_util,2.0
PT0002000068857897ZV,2026-06-01,dia_util,15.13,14.17,2.75,0.35,0.35,6.7,normal,40,alta,histórico dia_util,2.0
PT0002000068857909SY,2026-06-01,dia_util,4.39,4.82,1.19,-0.36,-0.36,-8.9,normal,40,alta,histórico dia_util,2.0
PT0002000068858231YY,2026-06-01,dia_util,18.91,17.71,4.93,0.24,0.24,6.7,normal,40,alta,histórico dia_util,2.0
PT0002000068858674WN,2026-06-01,dia_util,12.93,12.17,3.34,0.22,0.22,6.2,normal,40,alta,histórico dia_util,2.0
