CPE,hora,cluster,cluster_origem,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0,0,historico,fim_semana,8.0,10.0,1.41,-1.41,-1.41,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,1,0,historico,fim_semana,9.0,10.5,2.12,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,2,0,historico,fim_semana,8.0,10.0,2.83,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,3,0,historico,fim_semana,9.0,10.5,2.12,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,4,0,historico,fim_semana,9.0,10.0,1.41,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,5,0,historico,fim_semana,9.0,10.5,2.12,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,6,0,historico,fim_semana,9.0,10.5,2.12,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,7,0,historico,fim_semana,10.0,18.5,12.02,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,8,0,historico,fim_semana,7.0,31.5,34.65,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,9,0,historico,fim_semana,6.0,24.5,26.16,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,10,0,historico,fim_semana,7.0,28.5,27.58,-0.78,-0.78,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,11,0,historico,fim_semana,7.0,22.0,22.63,-0.66,-0.66,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,12,0,historico,fim_semana,7.0,29.0,31.11,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,13,0,historico,fim_semana,6.0,23.5,23.33,-0.75,-0.75,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,14,0,historico,fim_semana,7.0,16.5,14.85,-0.64,-0.64,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,15,0,historico,fim_semana,6.0,11.0,5.66,-0.88,-0.88,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,16,0,historico,fim_semana,7.0,11.0,5.66,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,17,0,historico,fim_semana,10.0,15.0,8.49,-0.59,-0.59,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,18,0,historico,fim_semana,9.0,11.0,2.83,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,19,0,historico,fim_semana,9.0,9.5,0.95,-0.53,-0.53,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,20,0,historico,fim_semana,10.0,9.5,0.95,0.53,0.53,normal,acima,baixa,2,fallback (60d recentes),3.5
PT0002000033074862LZ,21,0,historico,fim_semana,9.0,9.33,0.93,-0.36,-0.36,normal,abaixo,baixa,3,fallback (60d recentes),3.5
PT0002000033074862LZ,22,0,historico,fim_semana,9.0,10.0,1.73,-0.58,-0.58,normal,abaixo,baixa,3,fallback (60d recentes),3.5
PT0002000033074862LZ,23,0,historico,fim_semana,8.0,9.0,1.0,-1.0,-1.0,normal,abaixo,baixa,3,fallback (60d recentes),3.5
PT0002000068855003AK,0,0,atribuido,fim_semana,6.0,6.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000068855003AK,1,0,atribuido,fim_semana,6.0,6.0,0.6,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000068855003AK,2,0,atribuido,fim_semana,6.0,6.0,0.6,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000068855003AK,3,0,atribuido,fim_semana,6.0,6.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000068855003AK,4,0,atribuido,fim_semana,7.0,6.0,0.6,1.67,1.67,normal,acima,baixa,2,fallback (60d recentes),3.5
PT0002000068855003AK,5,0,atribuido,fim_semana,6.0,5.5,0.71,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.5
PT0002000068855003AK,6,0,atribuido,fim_semana,6.0,6.0,0.6,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000068855003AK,7,0,atribuido,fim_semana,6.0,7.5,2.12,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.5
PT0002000068855003AK,8,0,atribuido,fim_semana,9.0,12.5,7.78,-0.45,-0.45,normal,abaixo,baixa,2,fallback (60d recentes),3.5
