CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0.0,fim_semana,3.15,2.95,0.3,0.66,0.66,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068855003AK,,fim_semana,2.72,3.39,0.45,-1.48,-1.48,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856267NC,,fim_semana,9.48,7.92,0.95,1.63,1.63,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068856655YV,0.0,fim_semana,0.43,0.79,0.3,-1.21,-1.21,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856781NM,0.0,fim_semana,25.23,22.81,6.37,0.38,0.38,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068856826ZG,,fim_semana,51.91,22.69,5.54,5.27,5.27,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000068856872QG,1.0,fim_semana,0.5,0.24,0.3,0.87,0.87,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068856906VS,0.0,fim_semana,6.16,5.67,3.58,0.14,0.14,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068856952LS,2.0,fim_semana,0.03,0.39,0.49,-0.73,-0.73,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068856974CZ,,fim_semana,2.8,2.94,0.3,-0.47,-0.47,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068857099AR,1.0,fim_semana,3.95,3.71,0.69,0.34,0.34,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068857897ZV,0.0,fim_semana,10.31,7.39,0.79,3.69,3.69,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000068857909SY,1.0,fim_semana,5.7,3.27,1.82,1.33,1.33,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068858231YY,,fim_semana,5.72,5.56,0.58,0.27,0.27,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068858674WN,,fim_semana,4.17,3.63,0.36,1.47,1.47,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068859187RL,0.0,fim_semana,4.4,2.38,0.49,4.14,4.14,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000068859325FL,1.0,fim_semana,16.29,17.65,5.61,-0.24,-0.24,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068859382XF,0.0,fim_semana,10.58,10.42,1.04,0.16,0.16,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000068859393XH,1.0,fim_semana,20.41,24.16,8.24,-0.46,-0.46,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000068859597LS,0.0,fim_semana,14.2,12.47,2.84,0.61,0.61,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000071896778MT,0.0,fim_semana,1.11,4.67,4.64,-0.77,-0.77,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000073231742VK,0.0,fim_semana,3.14,2.88,0.3,0.85,0.85,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000073481266XH,0.0,fim_semana,1.95,1.64,0.3,1.01,1.01,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000073573036KH,,fim_semana,52.08,42.38,5.08,1.91,1.91,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000073717386HC,,fim_semana,0.36,4.1,2.02,-1.85,-1.85,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000073720434JD,,fim_semana,11.04,8.97,4.09,0.51,0.51,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000075637532JB,0.0,fim_semana,4.27,1.2,0.3,10.0,10.22,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000077348081AG,,fim_semana,13.48,14.73,5.54,-0.23,-0.23,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000077394934QY,0.0,fim_semana,16.71,15.97,1.6,0.47,0.47,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000077647404EM,1.0,fim_semana,14.7,5.11,2.92,3.28,3.28,desvio,acima,alta,15,histórico fim_semana,2.5
PT0002000078140706BA,,fim_semana,5.81,5.92,1.98,-0.05,-0.05,normal,abaixo,alta,15,histórico fim_semana,2.5
PT0002000078207354XC,1.0,fim_semana,4.32,2.66,1.05,1.58,1.58,normal,acima,alta,15,histórico fim_semana,2.5
PT0002000078233981HJ,1.0,fim_semana,3.41,3.35,1.38,0.04,0.04,normal,acima,alta,15,histórico fim_semana,2.5
