CPE,hora,cluster,cluster_origem,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0,0,historico,dia_util,12.0,13.0,1.3,-0.77,-0.77,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,1,0,historico,dia_util,13.0,12.5,1.25,0.4,0.4,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,2,0,historico,dia_util,12.0,13.5,1.35,-1.11,-1.11,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,3,0,historico,dia_util,15.0,14.0,1.4,0.71,0.71,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,4,0,historico,dia_util,12.0,12.0,1.2,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,5,0,historico,dia_util,13.0,13.0,1.3,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,6,0,historico,dia_util,13.0,13.5,1.35,-0.37,-0.37,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,7,0,historico,dia_util,30.0,32.0,4.24,-0.47,-0.47,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,8,0,historico,dia_util,51.0,42.5,6.36,1.34,1.34,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,9,0,historico,dia_util,51.0,53.5,5.35,-0.47,-0.47,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,10,0,historico,dia_util,52.0,56.0,7.07,-0.57,-0.57,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,11,0,historico,dia_util,44.0,53.0,5.3,-1.7,-1.7,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,12,0,historico,dia_util,64.0,59.0,5.9,0.85,0.85,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,13,0,historico,dia_util,45.0,47.5,4.75,-0.53,-0.53,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,14,0,historico,dia_util,34.0,37.5,3.75,-0.93,-0.93,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,15,0,historico,dia_util,25.0,28.0,2.83,-1.06,-1.06,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,16,0,historico,dia_util,21.0,23.0,2.3,-0.87,-0.87,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,17,0,historico,dia_util,27.0,26.5,2.65,0.19,0.19,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,18,0,historico,dia_util,23.0,21.0,2.83,0.71,0.71,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,19,0,historico,dia_util,15.0,13.5,1.35,1.11,1.11,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,20,0,historico,dia_util,14.0,13.5,1.35,0.37,0.37,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,21,0,historico,dia_util,14.0,12.67,2.31,0.58,0.58,normal,acima,baixa,3,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,22,0,historico,dia_util,14.0,12.33,1.23,1.35,1.35,normal,acima,baixa,3,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,23,0,historico,dia_util,13.0,12.33,1.23,0.54,0.54,normal,acima,baixa,3,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,0,0,atribuido,dia_util,7.0,8.5,2.12,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,1,0,atribuido,dia_util,7.0,8.5,0.85,-1.76,-1.76,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,2,0,atribuido,dia_util,6.0,9.0,1.41,-2.12,-2.12,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,3,0,atribuido,dia_util,7.0,8.0,0.8,-1.25,-1.25,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,4,0,atribuido,dia_util,7.0,8.0,1.41,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,5,0,atribuido,dia_util,7.0,8.5,0.85,-1.76,-1.76,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,6,0,atribuido,dia_util,6.0,8.0,1.41,-1.41,-1.41,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,7,0,atribuido,dia_util,10.0,13.5,1.35,-2.59,-2.59,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,8,0,atribuido,dia_util,15.0,18.0,2.83,-1.06,-1.06,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,9,0,atribuido,dia_util,17.0,21.0,2.1,-1.9,-1.9,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,10,0,atribuido,dia_util,31.0,32.5,6.36,-0.24,-0.24,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,11,0,atribuido,dia_util,27.0,40.5,4.95,-2.73,-2.73,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,12,0,atribuido,dia_util,36.0,40.5,4.05,-1.11,-1.11,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,13,0,atribuido,dia_util,46.0,49.0,7.07,-0.42,-0.42,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,14,0,atribuido,dia_util,50.0,52.5,9.19,-0.27,-0.27,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,15,0,atribuido,dia_util,52.0,62.5,21.92,-0.48,-0.48,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,16,0,atribuido,dia_util,45.0,63.5,28.99,-0.64,-0.64,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,17,0,atribuido,dia_util,38.0,58.5,27.58,-0.74,-0.74,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
