CPE,hora,cluster,cluster_origem,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0,0,historico,dia_util,13.0,13.0,1.41,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,1,0,historico,dia_util,12.0,13.5,1.35,-1.11,-1.11,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,2,0,historico,dia_util,13.0,12.0,1.2,0.83,0.83,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,3,0,historico,dia_util,12.0,12.0,1.2,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,4,0,historico,dia_util,13.0,12.0,1.2,0.83,0.83,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,5,0,historico,dia_util,12.0,13.0,1.3,-0.77,-0.77,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,6,0,historico,dia_util,13.0,12.5,1.25,0.4,0.4,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,7,0,historico,dia_util,33.0,13.0,1.3,10.0,15.38,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,8,0,historico,dia_util,49.0,11.0,1.1,10.0,34.55,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,9,0,historico,dia_util,51.0,10.5,1.05,10.0,38.57,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,10,0,historico,dia_util,50.0,10.5,1.05,10.0,37.62,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,11,0,historico,dia_util,58.0,10.5,1.05,10.0,45.24,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,12,0,historico,dia_util,62.0,10.0,1.0,10.0,52.0,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,13,0,historico,dia_util,46.0,10.5,1.05,10.0,33.81,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,14,0,historico,dia_util,39.0,10.0,1.0,10.0,29.0,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,15,0,historico,dia_util,23.0,10.5,1.05,10.0,11.9,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,16,0,historico,dia_util,22.0,10.5,1.05,10.0,10.95,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,17,0,historico,dia_util,25.0,13.0,1.3,9.23,9.23,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,18,0,historico,dia_util,18.0,13.0,1.3,3.85,3.85,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,19,0,historico,dia_util,14.0,13.0,1.3,0.77,0.77,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,20,0,historico,dia_util,13.0,13.0,1.3,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,21,0,historico,dia_util,14.0,12.0,1.73,1.15,1.15,normal,acima,baixa,3,fallback (60d recentes),3.0
PT0002000033074862LZ,22,0,historico,dia_util,12.0,12.33,1.23,-0.27,-0.27,normal,abaixo,baixa,3,fallback (60d recentes),3.0
PT0002000033074862LZ,23,0,historico,dia_util,12.0,12.0,1.2,0.0,0.0,normal,abaixo,baixa,3,fallback (60d recentes),3.0
PT0002000068855003AK,0,0,atribuido,dia_util,7.0,7.5,0.75,-0.67,-0.67,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,1,0,atribuido,dia_util,8.0,7.0,0.7,1.43,1.43,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,2,0,atribuido,dia_util,7.0,7.0,1.41,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,3,0,atribuido,dia_util,7.0,8.0,0.8,-1.25,-1.25,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,4,0,atribuido,dia_util,8.0,7.0,0.7,1.43,1.43,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,5,0,atribuido,dia_util,8.0,7.0,0.7,1.43,1.43,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,6,0,atribuido,dia_util,6.0,7.5,0.75,-2.0,-2.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,7,0,atribuido,dia_util,12.0,7.0,0.7,7.14,7.14,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,8,0,atribuido,dia_util,17.0,9.0,0.9,8.89,8.89,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,9,0,atribuido,dia_util,20.0,9.0,1.41,7.78,7.78,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,10,0,atribuido,dia_util,27.0,11.5,2.12,7.31,7.31,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,11,0,atribuido,dia_util,35.0,13.5,4.95,4.34,4.34,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,12,0,atribuido,dia_util,39.0,15.5,3.54,6.65,6.65,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,13,0,atribuido,dia_util,47.0,20.0,5.66,4.77,4.77,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,14,0,atribuido,dia_util,56.0,22.5,6.36,5.26,5.26,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,15,0,atribuido,dia_util,57.0,22.0,5.66,6.19,6.19,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,16,0,atribuido,dia_util,48.0,21.5,6.36,4.16,4.16,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,17,0,atribuido,dia_util,35.0,20.5,3.54,4.1,4.1,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,18,0,atribuido,dia_util,35.0,20.0,2.83,5.3,5.3,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,19,0,atribuido,dia_util,26.0,15.5,3.54,2.97,2.97,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,20,0,atribuido,dia_util,18.0,11.0,1.41,4.95,4.95,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,21,0,atribuido,dia_util,13.0,7.33,0.73,7.73,7.73,desvio,acima,baixa,3,fallback (60d recentes),3.0
PT0002000068855003AK,22,0,atribuido,dia_util,13.0,7.67,0.77,6.96,6.96,desvio,acima,baixa,3,fallback (60d recentes),3.0
PT0002000068855003AK,23,0,atribuido,dia_util,13.0,7.67,0.77,6.96,6.96,desvio,acima,baixa,3,fallback (60d recentes),3.0
PT0002000068856267NC,0,0,atribuido,dia_util,26.0,25.0,2.5,0.4,0.4,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,1,0,atribuido,dia_util,24.0,24.5,2.45,-0.2,-0.2,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,2,0,atribuido,dia_util,24.0,23.5,2.35,0.21,0.21,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,3,0,atribuido,dia_util,24.0,25.0,2.5,-0.4,-0.4,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,4,0,atribuido,dia_util,24.0,24.0,2.4,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,5,0,atribuido,dia_util,24.0,24.0,2.4,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,6,0,atribuido,dia_util,23.0,20.0,2.0,1.5,1.5,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,7,0,atribuido,dia_util,22.0,17.5,1.75,2.57,2.57,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,8,0,atribuido,dia_util,30.0,17.0,1.7,7.65,7.65,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,9,0,atribuido,dia_util,39.0,17.0,1.7,10.0,12.94,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,10,0,atribuido,dia_util,40.0,17.5,1.75,10.0,12.86,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,11,0,atribuido,dia_util,46.0,17.0,1.7,10.0,17.06,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,12,0,atribuido,dia_util,37.0,17.0,1.7,10.0,11.76,desvio,acima,baixa,2,fallback (60d recentes),3.0
