CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0.0,dia_util,8.64,8.52,1.25,0.09,0.09,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068855003AK,,dia_util,7.09,6.41,1.09,0.63,0.63,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856267NC,,dia_util,17.64,16.41,3.1,0.4,0.4,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856655YV,0.0,dia_util,1.79,1.8,0.46,-0.03,-0.03,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068856781NM,0.0,dia_util,27.03,21.56,10.57,0.52,0.52,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856826ZG,,dia_util,50.55,27.69,9.11,2.51,2.51,desvio,acima,alta,43,histórico dia_util,2.0
PT0002000068856872QG,1.0,dia_util,0.21,0.14,0.3,0.24,0.24,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856906VS,0.0,dia_util,6.03,5.88,1.97,0.07,0.07,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856952LS,2.0,dia_util,1.01,0.39,0.41,1.5,1.5,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068856974CZ,,dia_util,5.38,5.97,1.03,-0.58,-0.58,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068857099AR,1.0,dia_util,2.9,4.26,0.53,-2.57,-2.57,desvio,abaixo,alta,43,histórico dia_util,2.0
PT0002000068857897ZV,0.0,dia_util,19.33,13.74,2.8,2.0,2.0,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068857909SY,1.0,dia_util,2.58,4.77,1.15,-1.91,-1.91,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068858231YY,,dia_util,19.29,17.26,5.04,0.4,0.4,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068858674WN,,dia_util,12.38,11.86,3.45,0.15,0.15,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068859187RL,0.0,dia_util,10.54,8.52,1.57,1.29,1.29,normal,acima,alta,43,histórico dia_util,2.0
PT0002000068859325FL,1.0,dia_util,20.17,21.73,6.11,-0.26,-0.26,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068859382XF,0.0,dia_util,23.93,24.91,5.33,-0.18,-0.18,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068859393XH,1.0,dia_util,25.47,27.56,5.24,-0.4,-0.4,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000068859597LS,0.0,dia_util,27.16,26.76,7.07,0.06,0.06,normal,acima,alta,43,histórico dia_util,2.0
PT0002000071896778MT,0.0,dia_util,4.73,11.67,8.37,-0.83,-0.83,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000073231742VK,0.0,dia_util,5.77,5.5,0.82,0.34,0.34,normal,acima,alta,43,histórico dia_util,2.0
PT0002000073481266XH,0.0,dia_util,5.4,5.31,0.53,0.16,0.16,normal,acima,alta,43,histórico dia_util,2.0
PT0002000073573036KH,,dia_util,48.33,48.02,4.8,0.06,0.06,normal,acima,alta,43,histórico dia_util,2.0
PT0002000073717386HC,,dia_util,1.54,4.75,1.32,-2.43,-2.43,desvio,abaixo,alta,43,histórico dia_util,2.0
PT0002000073720434JD,,dia_util,23.86,12.8,6.28,1.76,1.76,normal,acima,alta,43,histórico dia_util,2.0
PT0002000075637532JB,0.0,dia_util,5.79,5.32,1.24,0.38,0.38,normal,acima,alta,43,histórico dia_util,2.0
PT0002000077348081AG,,dia_util,32.75,17.54,4.88,3.12,3.12,desvio,acima,alta,43,histórico dia_util,2.0
PT0002000077394934QY,0.0,dia_util,21.05,20.01,2.0,0.52,0.52,normal,acima,alta,43,histórico dia_util,2.0
PT0002000077647404EM,1.0,dia_util,11.23,9.31,2.75,0.7,0.7,normal,acima,alta,43,histórico dia_util,2.0
PT0002000078140706BA,,dia_util,6.42,9.45,3.46,-0.88,-0.88,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000078207354XC,1.0,dia_util,4.64,3.56,0.97,1.11,1.11,normal,acima,alta,43,histórico dia_util,2.0
PT0002000078233981HJ,1.0,dia_util,2.59,3.51,0.69,-1.34,-1.34,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000078294957RQ,0.0,dia_util,5.8,5.78,1.25,0.02,0.02,normal,acima,alta,43,histórico dia_util,2.0
PT0002000078441876HB,0.0,dia_util,280.44,232.99,29.35,1.62,1.62,normal,acima,alta,43,histórico dia_util,2.0
PT0002000079469719HF,,dia_util,27.72,32.19,3.22,-1.39,-1.39,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000081344542CP,1.0,dia_util,3.26,3.94,0.88,-0.77,-0.77,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000081997398TD,0.0,dia_util,38.39,26.16,4.2,2.91,2.91,desvio,acima,alta,43,histórico dia_util,2.0
PT0002000082549706RH,0.0,dia_util,5.1,5.99,0.77,-1.15,-1.15,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000100113293JT,0.0,dia_util,37.48,38.79,3.88,-0.34,-0.34,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000101964938LF,0.0,dia_util,6.41,5.08,0.51,2.6,2.6,desvio,acima,alta,43,histórico dia_util,2.0
PT0002000102936404ME,1.0,dia_util,4.16,4.89,0.49,-1.5,-1.5,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000103647515BL,,dia_util,0.18,0.24,0.3,-0.21,-0.21,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000105483259QH,1.0,dia_util,0.15,0.46,0.3,-1.06,-1.06,normal,abaixo,alta,43,histórico dia_util,2.0
