CPE,hora,cluster,cluster_origem,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0,0,historico,dia_util,13.0,13.0,1.3,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,1,0,historico,dia_util,13.0,12.0,1.2,0.83,0.83,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,2,0,historico,dia_util,13.0,13.5,1.35,-0.37,-0.37,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,3,0,historico,dia_util,14.0,13.0,1.41,0.71,0.71,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,4,0,historico,dia_util,12.0,12.5,1.25,-0.4,-0.4,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,5,0,historico,dia_util,13.0,12.5,1.25,0.4,0.4,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,6,0,historico,dia_util,14.0,13.0,1.3,0.77,0.77,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,7,0,historico,dia_util,35.0,31.0,3.1,1.29,1.29,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,8,0,historico,dia_util,38.0,48.0,4.8,-2.08,-2.08,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,9,0,historico,dia_util,52.0,53.0,5.3,-0.19,-0.19,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,10,0,historico,dia_util,61.0,50.5,5.05,2.08,2.08,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,11,0,historico,dia_util,51.0,56.5,5.65,-0.97,-0.97,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,12,0,historico,dia_util,58.0,61.0,6.1,-0.49,-0.49,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,13,0,historico,dia_util,50.0,45.5,4.55,0.99,0.99,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,14,0,historico,dia_util,40.0,37.0,3.7,0.81,0.81,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,15,0,historico,dia_util,26.0,26.5,4.95,-0.1,-0.1,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,16,0,historico,dia_util,22.0,23.0,2.3,-0.43,-0.43,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,17,0,historico,dia_util,26.0,26.0,2.6,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,18,0,historico,dia_util,19.0,20.5,3.54,-0.42,-0.42,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,19,0,historico,dia_util,14.0,13.5,1.35,0.37,0.37,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,20,0,historico,dia_util,13.0,13.5,1.35,-0.37,-0.37,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000033074862LZ,21,0,historico,dia_util,14.0,14.0,1.4,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
