CPE,hora,cluster,cluster_origem,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,21,0,historico,dia_util,9.0,13.0,1.3,-3.08,-3.08,desvio,abaixo,baixa,3,fallback (60d recentes),3.0
PT0002000033074862LZ,22,0,historico,dia_util,13.0,12.33,1.23,0.54,0.54,normal,acima,baixa,3,fallback (60d recentes),3.0
PT0002000033074862LZ,23,0,historico,dia_util,13.0,12.0,1.2,0.83,0.83,normal,acima,baixa,3,fallback (60d recentes),3.0
PT0002000068855003AK,0,,sem_cluster,dia_util,6.0,7.0,0.7,-1.43,-1.43,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,1,,sem_cluster,dia_util,7.0,6.5,0.71,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,2,,sem_cluster,dia_util,6.0,6.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,3,,sem_cluster,dia_util,7.0,7.0,1.41,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,4,,sem_cluster,dia_util,7.0,7.0,0.7,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,5,,sem_cluster,dia_util,6.0,6.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,6,,sem_cluster,dia_util,7.0,6.5,0.71,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,7,,sem_cluster,dia_util,8.0,9.0,2.83,-0.35,-0.35,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,8,,sem_cluster,dia_util,15.0,12.5,4.95,0.51,0.51,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,9,,sem_cluster,dia_util,17.0,14.0,5.66,0.53,0.53,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,10,,sem_cluster,dia_util,23.0,18.0,7.07,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,11,,sem_cluster,dia_util,30.0,23.0,8.49,0.82,0.82,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,12,,sem_cluster,dia_util,40.0,21.0,4.24,4.48,4.48,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,13,,sem_cluster,dia_util,46.0,31.0,9.9,1.52,1.52,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,14,,sem_cluster,dia_util,51.0,34.0,9.9,1.72,1.72,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,15,,sem_cluster,dia_util,48.0,33.5,10.61,1.37,1.37,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,16,,sem_cluster,dia_util,53.0,33.0,9.9,2.02,2.02,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,17,,sem_cluster,dia_util,58.0,26.0,4.24,7.54,7.54,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,18,,sem_cluster,dia_util,43.0,22.5,2.25,9.11,9.11,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,19,,sem_cluster,dia_util,23.0,18.5,1.85,2.43,2.43,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,20,,sem_cluster,dia_util,10.0,11.0,1.41,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,21,,sem_cluster,dia_util,9.0,8.5,0.85,0.59,0.59,normal,acima,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,22,,sem_cluster,dia_util,6.0,7.0,0.7,-1.43,-1.43,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
PT0002000068855003AK,23,,sem_cluster,dia_util,7.0,7.5,0.75,-0.67,-0.67,normal,abaixo,baixa,2,histórico dia_util (poucos dados),3.0
