CPE,hora,cluster,cluster_origem,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0,0,historico,dia_util,13.0,12.0,1.2,0.83,0.83,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,1,0,historico,dia_util,12.0,12.5,1.25,-0.4,-0.4,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,2,0,historico,dia_util,13.0,13.0,1.3,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,3,0,historico,dia_util,12.0,13.5,1.35,-1.11,-1.11,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,4,0,historico,dia_util,12.0,12.0,1.2,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,5,0,historico,dia_util,13.0,13.0,1.3,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,6,0,historico,dia_util,13.0,13.0,1.3,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,7,0,historico,dia_util,32.0,13.0,1.3,10.0,14.62,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,8,0,historico,dia_util,38.0,11.0,1.1,10.0,24.55,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,9,0,historico,dia_util,39.0,10.5,1.05,10.0,27.14,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,10,0,historico,dia_util,43.0,11.5,1.15,10.0,27.39,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,11,0,historico,dia_util,55.0,10.5,1.05,10.0,42.38,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,12,0,historico,dia_util,47.0,10.0,1.0,10.0,37.0,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,13,0,historico,dia_util,50.0,10.5,1.05,10.0,37.62,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,14,0,historico,dia_util,32.0,10.5,1.05,10.0,20.48,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,15,0,historico,dia_util,24.0,11.0,1.1,10.0,11.82,desvio,acima,baixa,2,fallback (60d recentes),3.0
