CPE,hora,cluster,cluster_origem,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0,0,historico,dia_util,8.0,8.5,0.85,-0.59,-0.59,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,1,0,historico,dia_util,9.0,9.0,0.9,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,2,0,historico,dia_util,8.0,8.0,0.8,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,3,0,historico,dia_util,9.0,9.0,0.9,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,4,0,historico,dia_util,9.0,9.0,0.9,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,5,0,historico,dia_util,9.0,9.0,0.9,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,6,0,historico,dia_util,9.0,9.0,0.9,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,7,0,historico,dia_util,9.0,10.0,1.0,-1.0,-1.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,8,0,historico,dia_util,8.0,7.5,0.75,0.67,0.67,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,9,0,historico,dia_util,8.0,7.0,1.41,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,10,0,historico,dia_util,9.0,8.0,1.41,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,11,0,historico,dia_util,11.0,8.5,2.12,1.18,1.18,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,12,0,historico,dia_util,10.0,8.0,1.41,1.41,1.41,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,13,0,historico,dia_util,10.0,7.5,2.12,1.18,1.18,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,14,0,historico,dia_util,9.0,8.5,2.12,0.24,0.24,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,15,0,historico,dia_util,9.0,7.5,2.12,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,16,0,historico,dia_util,10.0,8.0,1.41,1.41,1.41,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,17,0,historico,dia_util,11.0,10.5,1.05,0.48,0.48,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,18,0,historico,dia_util,9.0,9.5,0.95,-0.53,-0.53,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,19,0,historico,dia_util,10.0,9.0,0.9,1.11,1.11,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,20,0,historico,dia_util,9.0,9.5,0.95,-0.53,-0.53,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000033074862LZ,21,0,historico,dia_util,9.0,8.67,1.53,0.22,0.22,normal,acima,baixa,3,fallback (60d recentes),3.0
PT0002000033074862LZ,22,0,historico,dia_util,9.0,8.67,0.87,0.38,0.38,normal,acima,baixa,3,fallback (60d recentes),3.0
PT0002000033074862LZ,23,0,historico,dia_util,8.0,8.67,0.87,-0.77,-0.77,normal,abaixo,baixa,3,fallback (60d recentes),3.0
PT0002000068855003AK,0,0,atribuido,dia_util,7.0,6.0,0.6,1.67,1.67,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,1,0,atribuido,dia_util,7.0,6.0,0.6,1.67,1.67,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,2,0,atribuido,dia_util,6.0,6.0,0.6,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,3,0,atribuido,dia_util,7.0,6.5,0.71,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,4,0,atribuido,dia_util,6.0,6.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,5,0,atribuido,dia_util,6.0,6.0,0.6,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,6,0,atribuido,dia_util,7.0,6.0,0.6,1.67,1.67,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,7,0,atribuido,dia_util,11.0,7.5,2.12,1.65,1.65,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,8,0,atribuido,dia_util,16.0,12.5,4.95,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,9,0,atribuido,dia_util,25.0,17.0,8.49,0.94,0.94,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,10,0,atribuido,dia_util,57.0,18.0,9.9,3.94,3.94,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,11,0,atribuido,dia_util,30.0,23.0,15.56,0.45,0.45,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,12,0,atribuido,dia_util,34.0,28.0,19.8,0.3,0.3,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,13,0,atribuido,dia_util,42.0,31.5,19.09,0.55,0.55,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,14,0,atribuido,dia_util,42.0,26.5,12.02,1.29,1.29,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,15,0,atribuido,dia_util,45.0,24.5,9.19,2.23,2.23,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,16,0,atribuido,dia_util,48.0,18.5,2.12,10.0,13.91,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,17,0,atribuido,dia_util,41.0,16.5,1.65,10.0,14.85,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,18,0,atribuido,dia_util,48.0,16.0,1.6,10.0,20.0,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,19,0,atribuido,dia_util,54.0,14.0,1.41,10.0,28.28,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,20,0,atribuido,dia_util,20.0,7.5,0.75,10.0,16.67,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068855003AK,21,0,atribuido,dia_util,7.0,6.33,1.15,0.58,0.58,normal,acima,baixa,3,fallback (60d recentes),3.0
PT0002000068855003AK,22,0,atribuido,dia_util,7.0,6.0,0.6,1.67,1.67,normal,acima,baixa,3,fallback (60d recentes),3.0
PT0002000068855003AK,23,0,atribuido,dia_util,6.0,6.33,0.63,-0.53,-0.53,normal,abaixo,baixa,3,fallback (60d recentes),3.0
PT0002000068856267NC,0,0,atribuido,dia_util,24.0,23.5,2.35,0.21,0.21,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,1,0,atribuido,dia_util,22.0,23.0,2.3,-0.43,-0.43,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,2,0,atribuido,dia_util,23.0,25.0,2.5,-0.8,-0.8,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,3,0,atribuido,dia_util,24.0,24.0,2.4,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,4,0,atribuido,dia_util,23.0,23.0,2.3,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,5,0,atribuido,dia_util,22.0,22.5,2.25,-0.22,-0.22,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,6,0,atribuido,dia_util,21.0,20.5,3.54,0.14,0.14,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,7,0,atribuido,dia_util,20.0,18.0,2.83,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,8,0,atribuido,dia_util,25.0,22.0,8.49,0.35,0.35,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,9,0,atribuido,dia_util,26.0,23.0,9.9,0.3,0.3,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,10,0,atribuido,dia_util,26.0,21.0,7.07,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,11,0,atribuido,dia_util,24.0,21.0,7.07,0.42,0.42,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,12,0,atribuido,dia_util,23.0,20.5,6.36,0.39,0.39,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,13,0,atribuido,dia_util,23.0,20.5,7.78,0.32,0.32,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,14,0,atribuido,dia_util,26.0,20.0,5.66,1.06,1.06,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,15,0,atribuido,dia_util,26.0,19.0,4.24,1.65,1.65,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,16,0,atribuido,dia_util,18.0,18.5,3.54,-0.14,-0.14,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,17,0,atribuido,dia_util,15.0,17.5,2.12,-1.18,-1.18,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,18,0,atribuido,dia_util,13.0,15.5,1.55,-1.61,-1.61,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,19,0,atribuido,dia_util,15.0,18.0,1.8,-1.67,-1.67,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,20,0,atribuido,dia_util,21.0,23.5,2.35,-1.06,-1.06,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856267NC,21,0,atribuido,dia_util,21.0,20.67,3.21,0.1,0.1,normal,acima,baixa,3,fallback (60d recentes),3.0
PT0002000068856267NC,22,0,atribuido,dia_util,20.0,22.67,2.27,-1.18,-1.18,normal,abaixo,baixa,3,fallback (60d recentes),3.0
PT0002000068856267NC,23,0,atribuido,dia_util,22.0,23.33,2.33,-0.57,-0.57,normal,abaixo,baixa,3,fallback (60d recentes),3.0
PT0002000068856655YV,0,0,historico,dia_util,2.0,2.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,1,0,historico,dia_util,3.0,2.0,0.3,3.33,3.33,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,2,0,historico,dia_util,2.0,2.0,0.3,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,3,0,historico,dia_util,2.0,2.0,0.3,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,4,0,historico,dia_util,2.0,2.0,0.3,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,5,0,historico,dia_util,2.0,2.0,0.3,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,6,0,historico,dia_util,4.0,2.0,0.3,6.67,6.67,desvio,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,7,0,historico,dia_util,3.0,3.0,1.41,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,8,0,historico,dia_util,4.0,2.5,2.12,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,9,0,historico,dia_util,8.0,5.0,4.24,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,10,0,historico,dia_util,10.0,4.5,3.54,1.56,1.56,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,11,0,historico,dia_util,9.0,4.0,4.24,1.18,1.18,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,12,0,historico,dia_util,9.0,4.5,3.54,1.27,1.27,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,13,0,historico,dia_util,8.0,4.5,3.54,0.99,0.99,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,14,0,historico,dia_util,9.0,4.0,2.83,1.77,1.77,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,15,0,historico,dia_util,10.0,5.5,3.54,1.27,1.27,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,16,0,historico,dia_util,10.0,4.5,3.54,1.56,1.56,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,17,0,historico,dia_util,8.0,3.5,2.12,2.12,2.12,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,18,0,historico,dia_util,4.0,3.5,0.71,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,19,0,historico,dia_util,2.0,2.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,20,0,historico,dia_util,2.0,2.0,1.41,0.0,0.0,normal,abaixo,baixa,2,fallback (60d recentes),3.0
PT0002000068856655YV,21,0,historico,dia_util,8.0,2.0,1.0,6.0,6.0,desvio,acima,baixa,3,fallback (60d recentes),3.0
PT0002000068856655YV,22,0,historico,dia_util,7.0,2.67,1.15,3.75,3.75,desvio,acima,baixa,3,fallback (60d recentes),3.0
PT0002000068856655YV,23,0,historico,dia_util,2.0,2.33,0.58,-0.58,-0.58,normal,abaixo,baixa,3,fallback (60d recentes),3.0
PT0002000068856781NM,0,0,historico,dia_util,115.0,109.0,10.9,0.55,0.55,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,1,0,historico,dia_util,116.0,110.5,11.05,0.5,0.5,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,2,0,historico,dia_util,114.0,107.5,10.75,0.6,0.6,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,3,0,historico,dia_util,114.0,109.5,10.95,0.41,0.41,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,4,0,historico,dia_util,115.0,108.5,10.85,0.6,0.6,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,5,0,historico,dia_util,113.0,109.5,10.95,0.32,0.32,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,6,0,historico,dia_util,115.0,108.0,10.8,0.65,0.65,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,7,0,historico,dia_util,114.0,108.5,10.85,0.51,0.51,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,8,0,historico,dia_util,118.0,110.5,11.05,0.68,0.68,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,9,0,historico,dia_util,130.0,119.0,12.73,0.86,0.86,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,10,0,historico,dia_util,133.0,120.0,16.97,0.77,0.77,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,11,0,historico,dia_util,136.0,123.0,18.38,0.71,0.71,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,12,0,historico,dia_util,130.0,119.0,14.14,0.78,0.78,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,13,0,historico,dia_util,122.0,116.0,11.6,0.52,0.52,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,14,0,historico,dia_util,130.0,124.5,19.09,0.29,0.29,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,15,0,historico,dia_util,132.0,124.5,23.33,0.32,0.32,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,16,0,historico,dia_util,131.0,123.0,18.38,0.44,0.44,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,17,0,historico,dia_util,124.0,116.5,11.65,0.64,0.64,normal,acima,baixa,2,fallback (60d recentes),3.0
PT0002000068856781NM,18,0,historico,dia_util,117.0,113.0,11.3,0.35,0.35,normal,acima,baixa,2,fallback (60d recentes),3.0
